Time,Percentage,TimeToEmpty,Voltage,Current,IsChargerConnected
0.719251633,96.26172,214.59375,4.061875,240,0
1.598556518,96.25,211.78125,4.06125,240.9375,0
2.653008938,96.23828,211.21875,4.061875,251.25,0
3.707894325,96.23828,207.65625,4.063125,256.875,0
4.586814880,96.22656,207.65625,4.0575,247.1875,0
5.641700268,96.21484,207.84375,4.060625,250.3125,0
6.696903229,96.21484,209.53125,4.04625,327.5,0
7.575279713,96.20313,209.625,4.059375,265.625,0
8.630172729,96.20313,209.15625,4.046875,394.375,0
9.684968948,96.19141,207.9375,4.060625,241.5625,0
10.740055561,96.17578,207.46875,4.060625,245.625,0
11.618749618,96.17578,207.84375,4.045,334.0625,0
12.673677444,96.16406,208.96875,4.06125,239.6875,0
13.728291988,96.15234,209.53125,4.061875,237.8125,0
14.607494831,96.15234,210.75,4.06,246.875,0
15.662094116,96.14063,211.40625,4.05625,260,0
16.716771126,96.14063,212.4375,4.06,254.6875,0
17.595918655,96.12891,213.46875,4.061875,231.5625,0
18.650540352,96.12891,214.40625,4.06125,247.5,0
19.705935478,96.11719,214.6875,4.056875,260.625,0
20.584466934,96.10547,215.25,4.05875,250,0
21.639648437,96.10547,216,4.06125,248.125,0
22.694025993,96.09375,216.28125,4.049375,235.625,0
23.572880268,96.09375,215.15625,4.060625,249.6875,0
24.627837181,96.07813,214.59375,4.04625,323.125,0
25.682433128,96.06641,212.8125,4.035625,386.5625,0
26.737846851,96.06641,212.90625,4.06,249.375,0
27.616283893,96.05469,212.15625,4.059375,243.4375,0
28.671077728,96.04297,212.71875,4.056875,241.5625,0
29.726003170,96.04297,212.90625,4.058125,248.125,0
30.604800701,96.03125,213.75,4.060625,245.9375,0
31.659756660,96.03125,212.4375,4.058125,247.1875,0
32.714470386,96.01953,212.34375,4.054375,256.25,0
33.593510151,96.00781,211.21875,4.056875,264.0625,0
34.648166656,96.00781,212.0625,4.058125,250.3125,0
35.703053474,95.99609,212.4375,4.055625,250.3125,0
36.581921101,95.99609,213.84375,4.06,228.125,0
